"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0001",501,68,0,0,1,0,3,3,2,1,1,1,510,0,1,12,0.06624840781593,2013
"MLI0002",501,20,0,0,0,0,2,2,2,2,2,2,501,2,2,12,0.06624840781593,2013
"MLI0003",501,65,3,2,3,0,4,9,2,1,2,1,510,0,1,12,0.06624840781593,2013
"MLI0004",501,61,2,3,0,0,3,5,3,3,3,3,510,0,1,12,0.06624840781593,2013
"MLI0005",501,20,1,4,3,0,4,4,3,3,3,3,511,3,2,12,0.06624840781593,2013
"MLI0006",501,38,3,3,0,2,4,4,3,1,2,2,510,2,2,12,0.06624840781593,2013
"MLI0007",501,23,1,3,3,0,4,4,3,2,1,3,510,4,1,12,0.06624840781593,2013
"MLI0008",501,22,3,2,2,0,3,1,2,2,1,9,510,2,2,12,0.06624840781593,2013
"MLI0009",501,40,2,4,1,1,4,2,3,3,2,3,511,0,1,12,0.06624840781593,2013
"MLI0010",501,30,0,0,0,0,0,4,3,2,2,3,510,0,2,12,0.06624840781593,2013
"MLI0011",501,47,0,4,3,3,4,2,3,1,1,1,510,4,1,12,0.06624840781593,2013
"MLI0012",501,25,0,3,3,2,2,2,3,9,9,9,510,0,2,12,0.06624840781593,2013
"MLI0013",501,50,2,2,1,0,2,1,0,3,3,2,510,2,1,12,0.06624840781593,2013
"MLI0014",501,28,1,3,0,0,0,2,2,1,3,2,510,3,2,12,0.06624840781593,2013
"MLI0015",501,29,0,0,2,0,2,2,2,1,0,1,510,1,1,12,0.06624840781593,2013
"MLI0016",501,33,1,0,2,0,3,3,2,0,0,1,510,1,2,12,0.06624840781593,2013
"MLI0017",501,31,1,0,1,0,3,1,2,3,1,3,511,5,1,12,0.06624840781593,2013
"MLI0018",501,29,1,0,1,0,2,5,1,1,3,2,511,0,2,12,0.06624840781593,2013
"MLI0019",501,28,1,1,2,0,3,2,2,1,1,1,511,2,1,12,0.06624840781593,2013
"MLI0020",501,40,1,3,2,0,3,2,3,1,1,2,511,0,2,12,0.06624840781593,2013
"MLI0021",501,40,3,3,3,0,4,4,3,1,1,1,511,2,1,12,0.06624840781593,2013
"MLI0022",501,42,3,3,3,3,4,2,3,1,1,1,511,0,2,12,0.06624840781593,2013
"MLI0023",501,19,0,2,1,0,3,1,2,1,2,1,517,3,1,12,0.06624840781593,2013
"MLI0024",501,35,3,3,3,0,4,2,2,1,2,1,511,2,2,12,0.06624840781593,2013
