"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0001",502,22,0,0,0,0,0,1,3,1,2,0,511,1,2,8,0.107083797737243,2015
"MLI0002",502,41,0,0,2,0,3,1,3,1,2,1,501,0,1,8,0.107083797737243,2015
"MLI0003",502,32,3,4,3,3,3,5,3,1,2,3,501,3,1,8,0.107083797737243,2015
"MLI0004",502,32,0,4,0,0,2,5,2,1,1,1,501,3,2,8,0.107083797737243,2015
"MLI0005",502,33,0,0,0,0,0,2,3,1,1,3,511,8,1,8,0.107083797737243,2015
"MLI0006",502,32,1,0,2,0,3,1,3,2,2,2,501,2,2,8,0.107083797737243,2015
"MLI0007",502,18,0,0,0,0,2,1,3,2,1,2,511,3,1,8,0.107083797737243,2015
"MLI0008",502,45,0,0,0,0,1,1,3,2,1,2,511,9,2,8,0.107083797737243,2015
"MLI0009",502,39,0,0,0,0,0,1,3,0,0,1,501,3,2,8,0.107083797737243,2015
"MLI0010",502,26,0,0,0,0,0,1,3,2,1,1,512,5,1,8,0.107083797737243,2015
"MLI0011",502,48,0,0,0,3,2,2,3,1,1,1,510,3,1,8,0.107083797737243,2015
"MLI0012",502,18,0,0,0,4,2,1,3,2,2,1,514,4,2,8,0.107083797737243,2015
"MLI0013",502,38,0,0,0,0,3,1,3,1,0,1,501,2,2,8,0.107083797737243,2015
"MLI0014",502,29,2,1,0,0,2,1,3,0,1,2,511,1,1,8,0.107083797737243,2015
"MLI0015",502,30,1,0,1,0,2,3,3,2,1,2,501,1,2,8,0.107083797737243,2015
"MLI0016",502,38,0,0,0,0,2,1,2,2,1,3,511,3,1,8,0.107083797737243,2015
"MLI0017",502,19,0,0,0,0,1,1,3,2,1,1,501,2,2,8,0.107083797737243,2015
"MLI0018",502,64,0,0,0,0,0,3,3,1,1,2,501,1,1,8,0.107083797737243,2015
"MLI0019",502,22,2,0,2,0,2,4,2,1,0,2,501,0,1,8,0.107083797737243,2015
"MLI0020",502,46,3,2,2,0,3,5,2,0,0,2,501,0,2,8,0.107083797737243,2015
"MLI0021",502,60,3,3,2,0,3,4,3,1,1,2,501,0,2,8,0.107083797737243,2015
"MLI0022",502,32,0,4,0,0,3,1,3,3,3,3,501,5,1,8,0.107083797737243,2015
"MLI0023",502,40,1,1,2,0,3,3,2,2,1,2,501,1,1,8,0.107083797737243,2015
"MLI0024",502,50,2,0,3,0,3,2,2,2,1,2,501,0,2,8,0.107083797737243,2015
"MLI0025",502,31,0,0,0,0,1,5,3,1,2,1,501,0,2,8,0.107083797737243,2015
"MLI0026",502,24,0,0,0,0,0,5,3,1,1,1,501,2,1,8,0.107083797737243,2015
"MLI0027",502,20,2,0,0,4,4,1,1,2,1,1,504,3,2,8,0.107083797737243,2015
"MLI0028",502,58,0,0,0,2,2,4,3,2,1,1,501,3,1,8,0.107083797737243,2015
"MLI0029",502,50,0,0,1,0,3,4,3,9,2,2,504,0,2,8,0.107083797737243,2015
"MLI0030",502,58,3,0,2,0,2,1,3,1,1,2,501,0,1,8,0.107083797737243,2015
"MLI0031",502,26,0,0,0,0,3,3,3,1,1,3,501,3,1,8,0.107083797737243,2015
"MLI0032",502,48,2,0,1,0,4,4,3,1,1,3,511,3,2,8,0.107083797737243,2015
"MLI0033",503,58,0,4,0,0,4,2,3,3,0,3,501,4,1,2,0.0523850629849426,2015
"MLI0034",503,52,0,3,0,0,3,4,3,0,0,0,501,0,2,2,0.0523850629849426,2015
"MLI0035",503,69,2,2,2,0,3,5,3,0,0,0,501,0,1,2,0.0523850629849426,2015
"MLI0036",503,60,0,2,3,0,3,4,3,1,1,1,501,0,2,2,0.0523850629849426,2015
"MLI0037",503,70,0,2,2,0,3,4,1,1,1,2,501,0,1,2,0.0523850629849426,2015
"MLI0038",503,28,0,0,0,0,2,2,1,3,2,2,501,0,2,2,0.0523850629849426,2015
"MLI0039",503,56,2,1,3,0,4,2,2,1,1,1,501,0,1,2,0.0523850629849426,2015
"MLI0040",503,35,2,3,0,0,4,3,1,2,2,2,501,0,2,2,0.0523850629849426,2015
"MLI0041",503,34,0,0,0,0,0,1,3,2,2,3,501,0,2,2,0.0523850629849426,2015
"MLI0042",503,38,2,4,3,0,4,1,3,2,2,3,501,0,1,2,0.0523850629849426,2015
"MLI0043",503,30,3,2,2,0,3,2,3,0,0,0,501,2,2,2,0.0523850629849426,2015
"MLI0044",503,50,0,0,1,0,3,4,3,0,1,1,501,0,1,2,0.0523850629849426,2015
"MLI0045",503,27,0,0,0,0,1,2,3,1,1,1,501,0,1,2,0.0523850629849426,2015
"MLI0046",503,62,0,0,1,0,1,2,2,1,1,1,501,0,2,2,0.0523850629849426,2015
"MLI0047",503,25,0,0,0,0,3,2,3,2,3,2,501,0,1,2,0.0523850629849426,2015
"MLI0048",503,45,0,0,0,0,4,2,0,3,3,3,501,0,2,2,0.0523850629849426,2015
"MLI0049",503,35,2,3,2,0,3,5,3,2,2,0,501,0,2,2,0.0523850629849426,2015
"MLI0050",503,45,3,3,3,0,4,5,3,3,3,3,501,0,1,2,0.0523850629849426,2015
"MLI0051",503,61,0,0,1,0,3,4,3,3,3,3,501,1,2,2,0.0523850629849426,2015
"MLI0052",503,74,0,4,2,0,3,2,3,1,1,0,501,2,1,2,0.0523850629849426,2015
"MLI0053",503,82,0,0,3,0,3,4,1,1,1,1,501,0,1,2,0.0523850629849426,2015
"MLI0054",503,34,0,0,0,0,2,2,1,2,1,1,501,0,2,2,0.0523850629849426,2015
"MLI0055",503,70,0,0,0,0,4,2,2,0,0,1,501,0,1,2,0.0523850629849426,2015
"MLI0056",503,40,0,0,0,0,3,2,1,3,3,3,501,0,2,2,0.0523850629849426,2015
"MLI0057",504,33,0,0,0,0,0,4,2,1,2,1,514,2,2,17,0.0498229023172739,2015
"MLI0058",504,50,0,0,1,0,3,1,0,2,2,1,514,7,1,17,0.0498229023172739,2015
"MLI0059",504,50,0,0,0,0,0,3,3,1,1,1,517,1,2,17,0.0498229023172739,2015
"MLI0060",504,46,0,0,0,0,0,1,3,1,1,3,511,8,1,17,0.0498229023172739,2015
"MLI0061",504,25,0,0,0,0,2,5,2,1,1,1,510,4,2,17,0.0498229023172739,2015
"MLI0062",504,36,3,3,3,3,4,5,3,0,0,1,506,1,1,17,0.0498229023172739,2015
"MLI0063",504,65,0,0,2,4,2,1,0,2,2,2,514,1,2,17,0.0498229023172739,2015
"MLI0064",504,50,0,0,1,2,4,1,3,1,1,1,9995,1,1,17,0.0498229023172739,2015
"MLI0065",504,25,1,0,0,0,3,5,3,1,1,2,501,2,2,17,0.0498229023172739,2015
"MLI0066",504,25,0,0,0,0,0,1,2,2,2,2,517,5,1,17,0.0498229023172739,2015
"MLI0067",504,28,0,0,0,0,0,1,3,0,0,1,514,0,1,17,0.0498229023172739,2015
"MLI0068",504,38,0,0,2,0,1,2,2,1,1,1,501,1,2,17,0.0498229023172739,2015
"MLI0069",504,35,0,0,0,1,3,4,3,2,2,0,501,1,1,17,0.0498229023172739,2015
"MLI0070",504,60,0,0,0,3,3,5,3,1,1,0,501,0,2,17,0.0498229023172739,2015
"MLI0071",504,52,2,0,0,3,3,1,2,1,1,2,513,1,1,17,0.0498229023172739,2015
"MLI0072",504,35,0,0,0,1,3,1,3,0,2,3,512,1,2,17,0.0498229023172739,2015
"MLI0073",504,30,3,0,3,4,4,2,2,1,3,3,518,2,1,17,0.0498229023172739,2015
"MLI0074",504,25,0,0,0,0,0,2,3,2,1,2,511,2,2,17,0.0498229023172739,2015
