"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0001",509,38,0,0,0,0,2,5,1,3,3,3,501,0,2,60,55.1076183612029,2021
"MLI0002",509,19,0,0,0,0,0,3,0,2,1,3,501,2,2,60,55.1076183612029,2021
"MLI0003",509,42,0,0,0,4,4,2,3,3,1,3,501,2,2,60,55.1076183612029,2021
"MLI0004",509,20,0,2,0,0,0,4,3,3,3,3,517,7,2,60,55.1076183612029,2021
"MLI0005",509,40,0,0,3,0,3,3,3,2,3,3,516,5,2,60,55.1076183612029,2021
"MLI0006",509,19,2,0,1,0,2,2,1,1,1,1,511,4,1,60,55.1076183612029,2021
"MLI0007",509,30,0,0,0,0,2,4,3,1,1,1,515,0,2,60,55.1076183612029,2021
"MLI0008",509,20,2,4,0,0,3,3,3,3,3,1,501,8,1,60,55.1076183612029,2021
"MLI0009",509,32,2,3,0,2,4,1,3,3,3,3,501,1,1,60,55.1076183612029,2021
"MLI0010",509,22,0,0,0,0,2,5,3,9,9,1,517,2,2,60,55.1076183612029,2021
"MLI0011",509,47,2,1,1,0,4,1,3,2,2,1,503,2,2,60,55.1076183612029,2021
"MLI0012",509,47,0,0,1,0,2,1,3,2,3,1,508,3,1,60,55.1076183612029,2021
"MLI0013",509,28,4,4,3,4,4,4,3,1,1,1,501,1,2,60,55.1076183612029,2021
"MLI0014",509,50,3,4,2,3,4,4,3,0,0,0,501,0,2,60,55.1076183612029,2021
"MLI0015",509,27,0,4,3,2,3,1,3,3,3,2,516,5,2,60,55.1076183612029,2021
"MLI0016",509,22,2,4,1,2,4,2,2,3,3,3,513,2,2,60,55.1076183612029,2021
"MLI0017",509,20,0,0,0,0,0,9,3,9,0,1,515,2,2,60,55.1076183612029,2021
"MLI0018",509,34,0,2,2,2,2,1,2,2,2,2,509,4,1,60,55.1076183612029,2021
"MLI0019",509,37,0,0,0,0,2,1,3,9,9,9,509,7,1,60,55.1076183612029,2021
"MLI0020",509,42,0,0,2,0,2,1,3,0,0,0,9995,3,1,60,55.1076183612029,2021
"MLI0021",509,30,0,0,0,0,0,1,0,2,2,2,508,3,2,60,55.1076183612029,2021
"MLI0022",509,36,1,0,0,0,3,1,3,0,1,2,505,7,1,60,55.1076183612029,2021
"MLI0023",509,20,0,2,0,0,2,3,1,2,2,2,516,0,2,60,55.1076183612029,2021
"MLI0024",509,42,0,0,0,0,2,4,3,1,2,1,501,7,1,60,55.1076183612029,2021
"MLI0025",509,55,0,0,1,0,0,1,3,0,0,1,509,8,1,60,55.1076183612029,2021
"MLI0026",509,27,0,2,0,0,2,1,3,1,1,0,501,2,1,60,55.1076183612029,2021
"MLI0027",509,39,1,2,2,3,4,5,0,3,3,3,501,3,2,60,55.1076183612029,2021
"MLI0028",509,30,0,0,0,0,0,1,3,1,1,2,513,2,2,60,55.1076183612029,2021
"MLI0029",509,68,0,0,0,0,1,1,3,3,3,3,517,6,1,60,55.1076183612029,2021
"MLI0030",509,35,0,2,0,3,4,3,3,2,1,0,501,1,1,60,55.1076183612029,2021
"MLI0031",509,40,0,3,4,0,1,1,3,9,9,9,501,0,1,60,55.1076183612029,2021
"MLI0032",509,21,0,0,0,0,1,5,2,8,0,0,509,4,1,60,55.1076183612029,2021
"MLI0033",509,45,0,0,0,3,4,1,2,3,2,3,501,4,1,60,55.1076183612029,2021
"MLI0034",509,60,0,0,0,0,4,1,2,2,2,1,517,2,1,60,55.1076183612029,2021
"MLI0035",509,29,0,0,0,0,2,1,3,2,0,9,503,4,1,60,55.1076183612029,2021
"MLI0036",509,24,0,3,0,0,2,1,3,2,2,2,511,4,1,60,55.1076183612029,2021
"MLI0037",509,42,1,0,0,0,4,1,0,3,3,3,509,4,1,60,55.1076183612029,2021
"MLI0038",509,35,1,3,3,1,3,5,0,1,1,2,501,9,2,60,55.1076183612029,2021
"MLI0039",509,35,2,0,0,2,2,1,3,2,2,2,509,8,1,60,55.1076183612029,2021
"MLI0040",509,42,0,3,0,2,2,1,3,2,2,3,504,4,2,60,55.1076183612029,2021
"MLI0041",509,35,0,0,0,0,4,2,2,2,2,1,501,5,2,60,55.1076183612029,2021
"MLI0042",509,40,0,0,0,0,0,2,3,2,2,2,501,2,1,60,55.1076183612029,2021
"MLI0043",509,24,0,0,0,0,2,1,2,0,0,1,515,0,2,60,55.1076183612029,2021
"MLI0044",509,60,2,3,2,3,2,1,3,0,1,1,516,0,2,60,55.1076183612029,2021
"MLI0045",509,72,0,0,0,0,0,1,1,2,2,2,516,0,2,60,55.1076183612029,2021
"MLI0046",509,58,0,2,2,2,4,1,2,2,2,2,513,0,1,60,55.1076183612029,2021
"MLI0047",509,40,0,3,0,2,4,2,3,3,3,2,501,0,2,60,55.1076183612029,2021
"MLI0048",509,52,0,0,0,0,2,1,3,0,2,2,511,2,2,60,55.1076183612029,2021
"MLI0049",509,40,0,2,0,0,2,2,0,9,3,2,513,0,2,60,55.1076183612029,2021
"MLI0050",509,30,0,3,2,0,2,1,3,9,9,2,515,0,2,60,55.1076183612029,2021
"MLI0051",509,62,0,0,0,0,0,1,3,2,1,2,516,0,1,60,55.1076183612029,2021
"MLI0052",509,18,0,2,2,2,3,4,3,2,2,1,509,4,1,60,55.1076183612029,2021
"MLI0053",509,30,0,2,0,0,2,2,1,3,3,3,513,8,2,60,55.1076183612029,2021
"MLI0054",509,30,0,0,0,0,0,5,0,3,3,3,516,6,2,60,55.1076183612029,2021
"MLI0055",509,27,0,0,1,1,0,1,0,3,3,3,509,6,2,60,55.1076183612029,2021
"MLI0056",509,28,0,0,0,0,2,5,3,1,1,9,501,4,1,60,55.1076183612029,2021
"MLI0057",509,34,0,0,0,2,2,2,2,2,2,2,513,5,2,60,55.1076183612029,2021
"MLI0058",509,35,0,0,0,0,2,2,3,1,9,2,501,0,2,60,55.1076183612029,2021
"MLI0059",509,39,0,0,0,0,3,2,3,1,1,0,515,0,2,60,55.1076183612029,2021
"MLI0060",509,26,2,3,0,0,2,5,3,8,8,8,509,2,2,60,55.1076183612029,2021
"MLI0061",509,46,4,0,2,2,4,2,2,0,0,2,501,2,2,60,55.1076183612029,2021
"MLI0062",509,40,0,0,4,2,4,1,3,2,1,2,509,4,1,60,55.1076183612029,2021
"MLI0063",509,20,0,4,0,3,2,5,9,3,3,3,516,2,1,60,55.1076183612029,2021
"MLI0064",509,25,0,0,0,0,2,1,2,1,1,3,517,7,1,60,55.1076183612029,2021
"MLI0065",509,56,1,0,0,0,3,1,3,3,3,3,501,6,1,60,55.1076183612029,2021
"MLI0066",509,28,0,0,0,2,3,4,3,3,1,3,501,1,2,60,55.1076183612029,2021
"MLI0067",509,32,0,0,0,0,2,5,0,2,2,2,517,6,1,60,55.1076183612029,2021
"MLI0068",509,22,0,0,1,0,2,2,3,1,2,2,505,2,1,60,55.1076183612029,2021
"MLI0069",509,21,0,0,0,0,0,1,2,1,1,2,509,3,2,60,55.1076183612029,2021
"MLI0070",509,34,3,1,3,0,4,1,3,3,3,1,501,2,1,60,55.1076183612029,2021
"MLI0071",509,32,1,0,0,2,4,1,3,3,3,2,501,7,2,60,55.1076183612029,2021
"MLI0072",509,54,2,1,1,1,2,1,3,2,2,2,509,0,1,60,55.1076183612029,2021
"MLI0073",509,66,0,0,0,0,1,5,0,3,8,3,517,5,1,60,55.1076183612029,2021
"MLI0074",509,38,0,0,0,2,4,1,3,3,3,2,501,2,1,60,55.1076183612029,2021
"MLI0075",509,26,0,0,0,0,3,1,2,3,9,3,501,4,1,60,55.1076183612029,2021
"MLI0076",509,32,0,3,2,0,2,1,3,3,2,2,509,3,1,60,55.1076183612029,2021
"MLI0077",509,25,0,0,0,0,0,4,2,2,2,2,501,5,2,60,55.1076183612029,2021
"MLI0078",509,38,0,0,0,0,2,1,2,3,3,3,505,6,2,60,55.1076183612029,2021
"MLI0079",509,45,0,0,2,2,4,5,0,3,3,3,505,0,1,60,55.1076183612029,2021
"MLI0080",509,40,2,0,1,1,2,1,3,1,1,2,513,3,1,60,55.1076183612029,2021
"MLI0081",509,20,0,0,0,3,2,2,3,1,2,1,501,4,2,60,55.1076183612029,2021
"MLI0082",509,70,0,2,3,3,4,1,3,0,0,1,501,0,2,60,55.1076183612029,2021
"MLI0083",509,40,0,0,0,2,2,1,2,9,9,2,513,3,2,60,55.1076183612029,2021
"MLI0084",509,53,0,0,0,0,4,1,2,3,3,3,501,0,2,60,55.1076183612029,2021
"MLI0085",509,47,0,0,0,0,3,1,0,3,3,3,509,6,1,60,55.1076183612029,2021
"MLI0086",509,34,1,0,2,2,3,1,1,1,1,2,513,1,1,60,55.1076183612029,2021
"MLI0087",509,37,1,0,2,0,4,1,0,2,2,2,501,2,2,60,55.1076183612029,2021
"MLI0088",509,21,0,0,0,2,3,1,2,3,3,1,501,2,2,60,55.1076183612029,2021
"MLI0089",509,36,2,2,0,2,2,5,1,1,1,3,509,0,2,60,55.1076183612029,2021
"MLI0090",509,30,0,0,0,0,3,3,3,2,1,0,501,7,2,60,55.1076183612029,2021
