"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI1186",502,40,0,0,2,0,4,5,3,2,1,3,516,0,1,16,0.13272089071165,2017
"MLI1187",502,32,0,0,1,0,2,2,1,2,2,1,501,0,2,16,0.13272089071165,2017
"MLI1188",503,53,1,0,1,0,1,4,3,2,2,3,513,0,1,9,0.0495318379683881,2017
"MLI1189",502,63,0,0,2,0,3,1,3,3,3,3,501,0,1,16,0.13272089071165,2017
"MLI1190",504,44,2,3,3,2,3,1,3,0,0,0,518,2,2,32,0.0611532329622025,2017
"MLI1191",503,41,0,0,0,0,3,4,3,1,9,1,501,2,1,9,0.0495318379683881,2017
"MLI1192",503,25,0,2,1,0,0,1,3,3,3,0,515,7,1,9,0.0495318379683881,2017
"MLI1193",504,21,2,4,0,0,0,1,2,2,2,2,9995,5,1,32,0.0611532329622025,2017
"MLI1194",503,35,0,0,0,0,0,4,3,1,1,1,516,1,1,9,0.0495318379683881,2017
"MLI1195",504,66,0,0,0,0,2,1,2,2,2,2,501,4,1,32,0.0611532329622025,2017
"MLI1196",502,18,0,0,2,0,2,1,3,0,0,0,501,0,2,16,0.13272089071165,2017
"MLI1197",502,65,2,0,2,0,3,3,2,2,2,2,501,0,1,16,0.13272089071165,2017
"MLI1198",502,18,0,0,0,0,2,2,3,1,1,1,516,3,2,16,0.13272089071165,2017
"MLI1199",502,55,0,0,2,0,4,2,3,2,2,2,501,2,2,16,0.13272089071165,2017
"MLI1200",504,47,2,2,2,0,3,1,3,2,2,2,501,0,1,32,0.0611532329622025,2017
