ADM1_FR,ADM1_PCODE,ADM1_REF,ADM0_FR,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area,AREA_SQKM,_count,_sum,_mean
Agadez,NE001,,Niger (the),NE,2023/06/21,2023/07/25,,32.93603998470,53.48126430750,621203.38817299996,770154,3819.60664868355,0.00495953620793185
Diffa,NE002,,Niger (the),NE,2023/06/21,2023/07/25,,18.96288272080,12.29883103690,145722.87598300001,177051,4150.93424499035,0.0234448506079624
Dosso,NE003,,Niger (the),NE,2023/06/21,2023/07/25,,8.94947173167,2.63555432032,31604.93623960000,37963,1500.37508368492,0.0395220368170303
Maradi,NE004,,Niger (the),NE,2023/06/21,2023/07/25,,8.51733621103,3.28637581304,39260.48689970000,47325,3184.04182469845,0.0672803343834854
Tahoua,NE005,,Niger (the),NE,2023/06/21,2023/07/25,,14.08525555350,9.03572997353,107117.18052900000,130165,2757.83242678642,0.0211872041392573
Tillabéri,NE006,Tillaberi,Niger (the),NE,2023/06/21,2023/07/25,,17.32604247810,7.55403484383,90207.54056130000,108740,4562.43000996113,0.0419572375387266
Zinder,NE007,,Niger (the),NE,2023/06/21,2023/07/25,,16.70354755740,12.32404167200,146640.78213499999,177477,3226.30278539658,0.0181787092716046
Niamey,NE008,,Niger (the),NE,2023/06/21,2023/07/25,,1.06863914300,0.04649738228,556.86729093100,670,14952.1581763029,22.316653994482
