"RESP_NO","REGION","Q1","Q6A","Q6B","Q6C","Q6D","Q6E","Q29B","Q37H","Q38A","Q38B","Q38F","Q84A","Q94","Q100","vio_97_21","night_2020mean","year"
"MLI0583",501,23,0,0,0,0,3,4,3,1,1,1,508,6,1,51,0.0677829536032446,2022
"MLI0584",501,50,0,3,0,0,2,3,3,1,1,1,500,2,2,51,0.0677829536032446,2022
"MLI0585",501,39,0,1,0,0,0,4,3,3,3,3,512,5,2,51,0.0677829536032446,2022
"MLI0586",503,30,0,0,0,0,2,3,3,1,1,2,514,6,2,80,0.0571139595521401,2022
"MLI0587",503,33,0,0,0,0,4,4,3,0,3,3,514,5,1,80,0.0571139595521401,2022
"MLI0588",503,47,0,0,0,0,3,4,0,0,0,2,514,0,2,80,0.0571139595521401,2022
"MLI0589",501,38,0,0,0,2,2,4,3,0,2,3,515,4,2,51,0.0677829536032446,2022
"MLI0590",501,20,2,4,3,4,2,4,2,1,1,1,515,3,1,51,0.0677829536032446,2022
"MLI0591",503,31,0,0,0,0,3,4,3,2,2,2,514,7,2,80,0.0571139595521401,2022
"MLI0592",501,28,0,0,0,2,4,1,3,2,2,3,512,6,1,51,0.0677829536032446,2022
"MLI0593",505,22,3,1,3,4,4,4,3,2,2,2,504,2,1,1783,0.0311674084375282,2022
"MLI0594",502,80,0,4,1,0,4,4,3,0,0,0,500,0,1,77,0.238176564560548,2022
"MLI0595",503,37,0,0,0,0,0,4,2,1,1,2,514,2,1,80,0.0571139595521401,2022
"MLI0596",502,30,3,3,1,2,4,3,3,2,1,3,500,0,1,77,0.238176564560548,2022
"MLI0597",505,22,2,2,2,3,4,5,0,3,2,9,504,2,2,1783,0.0311674084375282,2022
"MLI0598",502,37,3,0,4,0,1,4,3,0,1,2,500,2,2,77,0.238176564560548,2022
"MLI0599",502,50,0,0,0,0,2,4,3,0,1,1,512,2,2,77,0.238176564560548,2022
"MLI0600",503,56,0,1,2,0,3,4,2,3,3,3,514,0,1,80,0.0571139595521401,2022
"MLI0601",503,54,0,0,0,0,1,4,3,0,1,2,514,4,1,80,0.0571139595521401,2022
"MLI0602",503,28,0,0,0,3,4,4,3,0,1,2,514,3,2,80,0.0571139595521401,2022
"MLI0603",502,41,0,0,0,0,2,4,3,0,0,1,512,0,1,77,0.238176564560548,2022
"MLI0604",502,22,2,0,1,3,4,3,3,2,3,2,500,0,2,77,0.238176564560548,2022
"MLI0605",502,40,3,0,0,0,3,1,3,0,0,9,512,0,2,77,0.238176564560548,2022
